CMD                             PID
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80564
/opt/discord-ptb/DiscordPTB   80609
/opt/discord-ptb/DiscordPTB   80609
/opt/discord-ptb/DiscordPTB   80609
/opt/discord-ptb/DiscordPTB   80609
/opt/discord-ptb/DiscordPTB   80609
/opt/discord-ptb/DiscordPTB   80609
[kworker/3:0-events]          81136
[kworker/u16:5-events_unbou   82511
[kworker/1:2-events]          83623
[kworker/1:1-mm_percpu_wq]    86172
[kworker/u17:1-rb_allocator   87909
[kworker/u16:1-events_power   89263
[kworker/0:1-events]          89613
[kworker/7:1-mm_percpu_wq]    89615
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89911
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
/opt/microsoft/msedge/msedg   89953
[kworker/u16:0-btrfs-endio-   92294
zsh                           92375
[kworker/0:0-events]          92830
[kworker/5:2-events]          93150
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
/opt/microsoft/msedge/msedg   93868
